"state","county_name","year","total_jail_pop","black_jail_pop","PercentofJailPop_Black"
"MN","Kandiyohi County",2018,82,4,4.8780487804878
"MN","Kittson County",2018,3,0,0
"MN","Koochiching County",2018,12,0,0
"MN","Lac qui Parle County",2018,4,0,0
"MN","Lake County",2018,15,0,0
"MN","Lake of the Woods County",2018,6,0.8,13.3333333333333
"MN","Le Sueur County",2018,15,1,6.66666666666667
"MN","Lincoln County",2018,4,0,0
"MN","Lyon County",2018,34.04,16.25,47.737955346651
"MN","McLeod County",2018,32,5,15.625
"MN","Mahnomen County",2018,NA,NA,NA
"MN","Marshall County",2018,3,0,0
"MN","Martin County",2018,19,0.62,3.26315789473684
"MN","Meeker County",2018,39,1.15,2.94871794871795
"MN","Mille Lacs County",2018,92,5.32,5.78260869565217
"MN","Morrison County",2018,63,2,3.17460317460317
"MN","Mower County",2018,60,15,25
"MN","Murray County",2018,9.96,4.75,47.6907630522088
"MN","Nicollet County",2018,20,2,10
"MN","Nobles County",2018,27.44,2.11,7.68950437317784
"MN","Norman County",2018,28.57,2.09,7.31536576828841
"MN","Olmsted County",2018,146,44,30.1369863013699
"MN","Otter Tail County",2018,67,9,13.4328358208955
"MN","Pennington County",2018,39,0.96,2.46153846153846
"MN","Pine County",2018,75,5.25,7
"MN","Pipestone County",2018,8,0.6,7.5
"MN","Polk County",2018,144.84,10.62,7.33222866611433
"MN","Pope County",2018,17.17,0.67,3.90215492137449
"MN","Ramsey County",2018,802,382,47.6309226932668
"MN","Red Lake County",2018,17.59,1.29,7.33371233655486
"MN","Redwood County",2018,17,0,0
"MN","Renville County",2018,62,4,6.45161290322581
"MN","Rice County",2018,50,12,24
"MN","Rock County",2018,11.56,0.89,7.69896193771626
"MN","Roseau County",2018,24,0,0
"MN","St. Louis County",2018,90,10,11.1111111111111
"MN","Scott County",2018,122,26,21.3114754098361
"MN","Sherburne County",2018,613,184,30.0163132137031
"MN","Sibley County",2018,12,1,8.33333333333333
"MN","Stearns County",2018,183,20,10.9289617486339
"MN","Steele County",2018,68.61,11.96,17.4318612447165
"MN","Stevens County",2018,0,0,NA
"MN","Swift County",2018,5,0,0
"MN","Todd County",2018,21,1,4.76190476190476
"MN","Traverse County",2018,0,0,NA
"MN","Wabasha County",2018,30,2,6.66666666666667
"MN","Wadena County",2018,22,2,9.09090909090909
"MN","Waseca County",2018,14,1,7.14285714285714
"MN","Washington County",2018,200,23,11.5
"MN","Watonwan County",2018,14,0.86,6.14285714285714
"MN","Wilkin County",2018,11,0,0
"MN","Winona County",2018,63,5,7.93650793650794
"MN","Wright County",2018,144,8,5.55555555555556
"MN","Yellow Medicine County",2018,25,1,4
"MS","Adams County",2018,87,68,78.1609195402299
"MS","Alcorn County",2018,125,44,35.2
"MS","Amite County",2018,40,28,70
"MS","Attala County",2018,22,16,72.7272727272727
"MS","Benton County",2018,22,7,31.8181818181818
"MS","Bolivar County",2018,353,268,75.9206798866855
"MS","Calhoun County",2018,36,18,50
"MS","Carroll County",2018,133.53,94.23,70.5684115929005
"MS","Chickasaw County",2018,341,138,40.4692082111437
"MS","Choctaw County",2018,96.96,106.22,109.550330033003
"MS","Claiborne County",2018,10,9,90
"MS","Clarke County",2018,40,25,62.5
"MS","Clay County",2018,125,91,72.8
"MS","Coahoma County",2018,102,104,101.960784313725
"MS","Copiah County",2018,49,38,77.5510204081633
"MS","Covington County",2018,25,17,68
"MS","DeSoto County",2018,350,167,47.7142857142857
"MS","Forrest County",2018,333,182,54.6546546546547
"MS","Franklin County",2018,NA,NA,NA
"MS","George County",2018,305,213,69.8360655737705
"MS","Greene County",2018,16,1,6.25
"MS","Grenada County",2018,155,109,70.3225806451613
"MS","Hancock County",2018,175,75,42.8571428571429
"MS","Harrison County",2018,868,359,41.3594470046083
"MS","Hinds County",2018,615,523,85.0406504065041
"MS","Holmes County",2018,188.64,164.55,87.2296437659033
"MS","Humphreys County",2018,85.36,74.45,87.2188378631678
"MS","Issaquena County",2018,85.75,63.37,73.9008746355685
"MS","Itawamba County",2018,27,4,14.8148148148148
"MS","Jackson County",2018,404,170,42.0792079207921
"MS","Jasper County",2018,23,39,169.565217391304
"MS","Jefferson County",2018,284,183,64.4366197183099
"MS","Jefferson Davis County",2018,29,17,58.6206896551724
"MS","Jones County",2018,209,73,34.9282296650718
"MS","Kemper County",2018,417,208,49.8800959232614
"MS","Lafayette County",2018,138,73,52.8985507246377
"MS","Lamar County",2018,135,38,28.1481481481481
"MS","Lauderdale County",2018,312,188,60.2564102564103
"MS","Lawrence County",2018,25,17,68
"MS","Leake County",2018,360,200,55.5555555555556
"MS","Lee County",2018,225,117,52
"MS","Leflore County",2018,110,92,83.6363636363636
"MS","Lincoln County",2018,82,56,68.2926829268293
"MS","Lowndes County",2018,249,91,36.5461847389558
"MS","Madison County",2018,343,250,72.8862973760933
"MS","Marion County",2018,428,228,53.2710280373832
"MS","Marshall County",2018,45,36,80
"MS","Monroe County",2018,111,53,47.7477477477478
"MS","Montgomery County",2018,131.47,92.77,70.5636266828934
"MS","Neshoba County",2018,55,18,32.7272727272727
"MS","Newton County",2018,35,16,45.7142857142857
"MS","Noxubee County",2018,24,24,100
"MS","Oktibbeha County",2018,81,18,22.2222222222222
"MS","Panola County",2018,125,64,51.2
"MS","Pearl River County",2018,263,70,26.615969581749
"MS","Perry County",2018,28,4,14.2857142857143
"MS","Pike County",2018,163,95,58.2822085889571
"MS","Pontotoc County",2018,67,40,59.7014925373134
"MS","Prentiss County",2018,71,19,26.7605633802817
"MS","Quitman County",2018,18,13,72.2222222222222
"MS","Rankin County",2018,461,168,36.4425162689805
"MS","Scott County",2018,107,68,63.5514018691589
"MS","Sharkey County",2018,232.25,171.63,73.8988159311087
"MS","Simpson County",2018,104,48,46.1538461538462
"MS","Smith County",2018,38,16,42.1052631578947
"MS","Stone County",2018,341,163,47.8005865102639
"MS","Sunflower County",2018,39,38,97.4358974358974
"MS","Tallahatchie County",2018,50,30,60
"MS","Tate County",2018,79,45,56.9620253164557
"MS","Tippah County",2018,38,8,21.0526315789474
"MS","Tishomingo County",2018,86,44,51.1627906976744
"MS","Tunica County",2018,72,65,90.2777777777778
"MS","Union County",2018,76,39,51.3157894736842
"MS","Walthall County",2018,15,11,73.3333333333333
"MS","Warren County",2018,117,66,56.4102564102564
"MS","Washington County",2018,427,265,62.0608899297424
"MS","Wayne County",2018,76,49,64.4736842105263
"MS","Webster County",2018,10,4,40
"MS","Wilkinson County",2018,18,12,66.6666666666667
"MS","Winston County",2018,217.04,237.78,109.555842241062
"MS","Yalobusha County",2018,23,14,60.8695652173913
"MS","Yazoo County",2018,453,284,62.6931567328918
"MO","Adair County",2018,44,2,4.54545454545455
"MO","Andrew County",2018,27,0,0
"MO","Atchison County",2018,3,0,0
"MO","Audrain County",2018,86,43,50
"MO","Barry County",2018,48,1,2.08333333333333
"MO","Barton County",2018,15,0,0
"MO","Bates County",2018,100,40,40
"MO","Benton County",2018,27,5.95,22.037037037037
"MO","Bollinger County",2018,22,0,0
"MO","Boone County",2018,179,82,45.8100558659218
"MO","Buchanan County",2018,219,38,17.351598173516
"MO","Butler County",2018,73,21,28.7671232876712
"MO","Caldwell County",2018,130,100,76.9230769230769
"MO","Callaway County",2018,81,24,29.6296296296296
"MO","Camden County",2018,109,50,45.8715596330275
"MO","Cape Girardeau County",2018,244,95,38.9344262295082
"MO","Carroll County",2018,12,2,16.6666666666667
"MO","Carter County",2018,NA,NA,NA
"MO","Cass County",2018,149,25,16.7785234899329
"MO","Cedar County",2018,14,0,0
"MO","Chariton County",2018,19,1,5.26315789473684
"MO","Christian County",2018,115,78,67.8260869565217
"MO","Clark County",2018,30,2,6.66666666666667
"MO","Clay County",2018,359,68,18.941504178273
"MO","Clinton County",2018,18,0.45,2.5
"MO","Cole County",2018,136,58,42.6470588235294
"MO","Cooper County",2018,33,4,12.1212121212121
"MO","Crawford County",2018,48.72,3.75,7.69704433497537
"MO","Dade County",2018,10,0,0
"MO","Dallas County",2018,20,0,0
"MO","Daviess County",2018,57.08,4.67,8.18149964961458
"MO","DeKalb County",2018,101.92,8.33,8.17307692307692
"MO","Dent County",2018,31,2,6.45161290322581
"MO","Douglas County",2018,24,0,0
"MO","Dunklin County",2018,155,30,19.3548387096774
"MO","Franklin County",2018,115,50,43.4782608695652
"MO","Gasconade County",2018,29.28,2.25,7.6844262295082
"MO","Gentry County",2018,41.79,24.01,57.4539363484087
"MO","Greene County",2018,730,171,23.4246575342466
"MO","Grundy County",2018,25,1,4
"MO","Harrison County",2018,51.21,29.42,57.4497168521773
"MO","Henry County",2018,60,3,5
"MO","Hickory County",2018,5,0,0
"MO","Holt County",2018,4,0,0
"MO","Howard County",2018,11,2.57,23.3636363636364
"MO","Howell County",2018,58,2,3.44827586206897
"MO","Iron County",2018,17,0.64,3.76470588235294
"MO","Jackson County",2018,977,632,64.6878198567042
"MO","Jasper County",2018,284,11,3.87323943661972
"MO","Jefferson County",2018,284,10.75,3.78521126760563
"MO","Johnson County",2018,210,101.25,48.2142857142857
"MO","Knox County",2018,NA,NA,NA
"MO","Laclede County",2018,127,7,5.51181102362205
"MO","Lafayette County",2018,108,37,34.2592592592593
"MO","Lawrence County",2018,43,0.55,1.27906976744186
"MO","Lewis County",2018,11,2,18.1818181818182
"MO","Lincoln County",2018,217,80,36.8663594470046
"MO","Linn County",2018,NA,NA,NA
"MO","Livingston County",2018,35,2,5.71428571428571
"MO","McDonald County",2018,34,1,2.94117647058824
"MO","Macon County",2018,28,2,7.14285714285714
"MO","Madison County",2018,26,3.31,12.7307692307692
"MO","Maries County",2018,4,0,0
"MO","Marion County",2018,92,46,50
"MO","Mercer County",2018,6,0,0
"MO","Miller County",2018,94,7,7.4468085106383
"MO","Mississippi County",2018,61,22,36.0655737704918
"MO","Moniteau County",2018,31,1,3.2258064516129
"MO","Monroe County",2018,19,2,10.5263157894737
"MO","Montgomery County",2018,42,6,14.2857142857143
"MO","Morgan County",2018,132,3,2.27272727272727
"MO","New Madrid County",2018,36,21,58.3333333333333
"MO","Newton County",2018,85,5,5.88235294117647
"MO","Nodaway County",2018,22,1.07,4.86363636363636
"MO","Oregon County",2018,6,0,0
"MO","Osage County",2018,9,0,0
"MO","Ozark County",2018,19,0,0
"MO","Pemiscot County",2018,83,41,49.3975903614458
"MO","Perry County",2018,39,3,7.69230769230769
"MO","Pettis County",2018,143,15,10.4895104895105
"MO","Phelps County",2018,140,21.18,15.1285714285714
"MO","Pike County",2018,47,4,8.51063829787234
"MO","Platte County",2018,183,54,29.5081967213115
"MO","Polk County",2018,37,2,5.40540540540541
"MO","Pulaski County",2018,52,12,23.0769230769231
"MO","Putnam County",2018,4,0,0
"MO","Ralls County",2018,NA,NA,NA
"MO","Randolph County",2018,87,7,8.04597701149425
"MO","Ray County",2018,60,10,16.6666666666667
"MO","Reynolds County",2018,9,1,11.1111111111111
"MO","Ripley County",2018,22,0,0
"MO","St. Charles County",2018,426,162,38.0281690140845
"MO","St. Clair County",2018,145,91,62.7586206896552
"MO","Ste. Genevieve County",2018,90,55,61.1111111111111
"MO","St. Francois County",2018,219,17,7.76255707762557
"MO","St. Louis County",2018,1321,831,62.9068887206662
"MO","Saline County",2018,84,14,16.6666666666667
"MO","Schuyler County",2018,3,0,0
"MO","Scotland County",2018,3,0,0
"MO","Scott County",2018,93,47,50.5376344086022
"MO","Shannon County",2018,8,0.67,8.375
"MO","Shelby County",2018,11,2,18.1818181818182
"MO","Stoddard County",2018,50,3,6
"MO","Stone County",2018,62,1,1.61290322580645
"MO","Sullivan County",2018,1,0,0
"MO","Taney County",2018,177,9,5.08474576271187
"MO","Texas County",2018,51,1.87,3.66666666666667
"MO","Vernon County",2018,103,22,21.3592233009709
"MO","Warren County",2018,112,11,9.82142857142857
"MO","Washington County",2018,49,1,2.04081632653061
"MO","Wayne County",2018,60,0,0
"MO","Webster County",2018,31,2,6.45161290322581
"MO","Worth County",2018,NA,NA,NA
"MO","Wright County",2018,54,0,0
"MO","St. Louis city",2018,1189,1061,89.2346509671993
"MT","Beaverhead County",2018,8,0,0
"MT","Big Horn County",2018,37,0,0
"MT","Blaine County",2018,1,0,0
"MT","Broadwater County",2018,25.22,1.43,5.67010309278351
"MT","Carbon County",2018,25.1,1.48,5.89641434262948
"MT","Carter County",2018,1.7,0,0
"MT","Cascade County",2018,476,17,3.57142857142857
"MT","Chouteau County",2018,9.11,0.7,7.68386388583974
"MT","Custer County",2018,12,0,0
"MT","Daniels County",2018,NA,NA,NA
"MT","Dawson County",2018,161.12,3.6,2.2343594836147
"MT","Deer Lodge County",2018,24,1,4.16666666666667
"MT","Fallon County",2018,4.3,0,0
"MT","Fergus County",2018,13.09,0.82,6.26432391138273
"MT","Flathead County",2018,99,1.98,2
"MT","Gallatin County",2018,134.19,3.75,2.79454504806617
"MT","Garfield County",2018,1.28,0,0
"MT","Glacier County",2018,14.72,0,0
"MT","Golden Valley County",2018,NA,NA,NA
"MT","Granite County",2018,2,0,0
"MT","Hill County",2018,60,1.27,2.11666666666667
"MT","Jefferson County",2018,17,0.65,3.82352941176471
"MT","Judith Basin County",2018,2.28,0.14,6.14035087719298
"MT","Lake County",2018,47,0,0
"MT","Lewis and Clark County",2018,71,1.23,1.73239436619718
"MT","Liberty County",2018,3.89,0.3,7.7120822622108
"MT","Lincoln County",2018,21,0,0
"MT","McCone County",2018,NA,NA,NA
"MT","Madison County",2018,8.81,0.25,2.83768444948922
"MT","Meagher County",2018,6.78,0.39,5.75221238938053
"MT","Mineral County",2018,7,1.14,16.2857142857143
"MT","Missoula County",2018,361,15,4.15512465373961
"MT","Musselshell County",2018,6,0,0
"MT","Park County",2018,15,0,0
"MT","Petroleum County",2018,0.63,0.04,6.34920634920635
"MT","Phillips County",2018,2,0,0
"MT","Pondera County",2018,6,0,0
"MT","Powder River County",2018,1,0,0
"MT","Powell County",2018,8,0,0
"MT","Prairie County",2018,NA,NA,NA
"MT","Ravalli County",2018,48,1,2.08333333333333
"MT","Richland County",2018,13,0,0
"MT","Roosevelt County",2018,14,2,14.2857142857143
"MT","Rosebud County",2018,28,2,7.14285714285714
"MT","Sanders County",2018,1,2.7,270
"MT","Sheridan County",2018,1,0,0
"MT","Silver Bow County",2018,76,1,1.31578947368421
"MT","Stillwater County",2018,22.36,1.32,5.90339892665474
"MT","Sweet Grass County",2018,NA,NA,NA
"MT","Teton County",2018,NA,NA,NA
"MT","Toole County",2018,627,20,3.18979266347687
"MT","Treasure County",2018,NA,NA,NA
"MT","Valley County",2018,20,0,0
"MT","Wheatland County",2018,4,0,0
"MT","Wibaux County",2018,17.88,0.4,2.23713646532438
"MT","Yellowstone County",2018,394.55,23.21,5.88265112153086
"NE","Adams County",2018,32,3,9.375
"NE","Antelope County",2018,6,0,0
"NE","Arthur County",2018,NA,NA,NA
"NE","Banner County",2018,3.02,0.06,1.98675496688742
"NE","Blaine County",2018,NA,NA,NA
"NE","Boone County",2018,2,0,0
"NE","Box Butte County",2018,12,0.43,3.58333333333333
"NE","Boyd County",2018,NA,NA,NA
"NE","Brown County",2018,0.8,0,0
"NE","Buffalo County",2018,125,10,8
"NE","Burt County",2018,3.13,0.45,14.3769968051118
"NE","Butler County",2018,23,1.15,5
"NE","Cass County",2018,78,6,7.69230769230769
"NE","Cedar County",2018,4,1,25
"NE","Chase County",2018,3,0,0
"NE","Cherry County",2018,7,1,14.2857142857143
"NE","Cheyenne County",2018,19,0.77,4.05263157894737
"NE","Clay County",2018,5,1,20
"NE","Colfax County",2018,20.02,1.48,7.39260739260739
"NE","Cuming County",2018,NA,NA,NA
"NE","Custer County",2018,10,0,0
"NE","Dakota County",2018,108,1,0.925925925925926
"NE","Dawes County",2018,9,1,11.1111111111111
"NE","Dawson County",2018,82.32,9.25,11.2366375121477
"NE","Deuel County",2018,NA,NA,NA
"NE","Dixon County",2018,6,0,0
"NE","Dodge County",2018,40,1.84,4.6
"NE","Douglas County",2018,1273,559,43.9120188531029
"NE","Dundy County",2018,2,0,0
"NE","Fillmore County",2018,4,0.86,21.5
"NE","Franklin County",2018,2,0,0
"NE","Frontier County",2018,3,0.5,16.6666666666667
"NE","Furnas County",2018,1,0,0
"NE","Gage County",2018,24,2.25,9.375
"NE","Garden County",2018,6,0,0
"NE","Garfield County",2018,1.09,0,0
"NE","Gosper County",2018,6.68,0.75,11.2275449101796
"NE","Grant County",2018,NA,NA,NA
"NE","Greeley County",2018,1.24,0,0
"NE","Hall County",2018,178,18,10.1123595505618
"NE","Hamilton County",2018,5,0.56,11.2
"NE","Harlan County",2018,1,0,0
"NE","Hayes County",2018,NA,NA,NA
"NE","Hitchcock County",2018,4,0,0
