"year","PercentofTotalPop_Black","PercentofJailPop_Black"
2000,5.68528974329607,32.6390079328896
2002,5.85966781393242,33.3224423776789
2004,6.03568486644779,34.2686888629633
2006,6.19446965775072,33.6777594728171
2008,6.41356314183946,32.5509304619377
2010,6.61928907528197,35.3751056751683
2012,6.83501681133818,32.9028741853195
2014,6.96065517829722,32.2568965517241
2016,7.09182869474457,30.5038088642659
2018,7.3269522031856,30.8480392156863
